Pclass,Age,SibSp,Parch,Fare,Has_Cabin,Sex_male,Embarked_Q,Embarked_S,Survived
3,0.625,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12886992187023877,0,True,True,False,0
3,0.33653846153846156,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.7019230769230769,0.125,0.8333333333333333,0.4765031751642431,0,True,False,True,0
3,0.0,0.5,0.16666666666666666,0.4437459624830881,0,True,True,False,0
2,0.625,0.0,0.0,0.3961337347488512,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.11007947052155576,0,True,False,False,0
3,0.4903846153846155,0.0,0.0,0.12029972087807612,0,True,False,True,0
1,0.4903846153846155,0.125,0.0,1.0,0,True,False,False,0
3,0.3557692307692308,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.4903846153846155,0.125,0.0,0.23615664956181515,0,True,True,False,0
3,0.08653846153846156,0.5,0.16666666666666666,0.6046752922248089,0,True,False,True,0
3,0.5,0.0,0.0,0.11014346135563058,0,True,False,False,0
3,0.1634615384615385,0.625,0.3333333333333333,0.7145643138354277,0,True,False,True,0
3,0.4519230769230769,0.25,0.0,0.13198109527930474,0,True,False,True,0
2,0.5673076923076923,0.0,0.0,0.15997708518703607,0,True,False,True,0
3,0.25961538461538464,0.625,0.3333333333333333,0.7145643138354277,0,False,False,True,0
2,0.3557692307692308,0.0,0.0,1.0,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12029972087807612,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.37500000000000006,0.0,0.0,0.13712321587460233,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.4134615384615385,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.5096153846153846,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.4519230769230769,0.125,0.3333333333333333,0.3134789074022159,0,True,False,True,0
3,1.0,0.0,0.0,0.11046036834342966,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12264909864339432,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12029972087807612,0,False,False,True,0
3,0.4903846153846155,0.0,0.0,0.12029972087807612,0,True,False,True,0
3,0.5865384615384616,0.0,0.0,0.13185463720244261,0,True,False,True,0
3,0.6634615384615384,0.25,0.0,0.12074460953402483,0,True,False,True,0
3,0.4903846153846155,0.0,0.0,0.12029972087807612,0,True,False,True,0
